"id,app,website"
"1,Salesforce,https://salesforce.com"
"2,HubSpot,https://hubspot.com"
"3,Pipedrive,https://pipedrive.com"
"4,Attio,https://attio.com"
"5,Twenty,https://twenty.com"
"6,Podio,https://podio.com"
"7,Zoho CRM,https://zoho.com/crm"
"8,Close,https://close.com"
"9,Copper,https://copper.com"
"10,DealCloud,https://api.docs.dealcloud.com"
"11,Zendesk,https://zendesk.com"
"12,Intercom,https://intercom.com"
"13,Freshdesk,https://freshdesk.com"
"14,Front,https://front.com"
"15,Pylon,https://usepylon.com"
"16,LiveAgent,https://liveagent.com"
"17,Plain,https://plain.com"
"18,Help Scout,https://helpscout.com"
"19,Gorgias,https://gorgias.com"
"20,Gladly,https://gladly.com"
"21,Slack,https://slack.com"
"22,Twilio,https://twilio.com"
"23,Zoho Cliq,https://zoho.com/cliq"
"24,Lark,https://open.larksuite.com"
"25,Pumble,https://pumble.com"
"26,Discord,https://discord.com"
"27,Telegram,https://core.telegram.org"
"28,WhatsApp Business,https://developers.facebook.com/docs/whatsapp"
"29,Aircall,https://aircall.io"
"30,Vonage,https://developer.vonage.com"
"31,Google Ads,https://developers.google.com/google-ads"
"32,Meta Ads,https://developers.facebook.com/docs/marketing-apis"
"33,LinkedIn Ads,https://learn.microsoft.com/linkedin/marketing"
"34,GoHighLevel,https://highlevel.stoplight.io"
"35,Mailchimp,https://mailchimp.com/developer"
"36,Klaviyo,https://developers.klaviyo.com"
"37,systeme.io,https://systeme.io"
"38,Pinterest,https://developers.pinterest.com"
"39,Threads,https://developers.facebook.com/docs/threads"
"40,SendGrid,https://sendgrid.com"
"41,Shopify,https://shopify.dev"
"42,WooCommerce,https://woocommerce.com/document/woocommerce-rest-api"
"43,BigCommerce,https://developer.bigcommerce.com"
"44,Salesforce Commerce Cloud,https://developer.salesforce.com/docs/commerce"
"45,Magento,https://developer.adobe.com/commerce"
"46,Squarespace,https://developers.squarespace.com"
"47,Ecwid,https://api-docs.ecwid.com"
"48,Gumroad,https://gumroad.com/api"
"49,Amazon Selling Partner,https://developer-docs.amazon.com/sp-api"
"50,fanbasis,https://fanbasis.com"
"51,DataForSEO,https://docs.dataforseo.com"
"52,SE Ranking,https://seranking.com/api"
"53,Ahrefs,https://ahrefs.com/api"
"54,MrScraper,https://docs.mrscraper.com"
"55,Apify,https://docs.apify.com"
"56,Firecrawl,https://firecrawl.dev"
"57,Bright Data,https://brightdata.com"
"58,Sherlock,https://github.com/sherlock-project/sherlock"
"59,Waterfall.io,https://waterfall.io"
"60,Clay,https://clay.com"
"61,GitHub,https://docs.github.com/rest"
"62,Vercel,https://vercel.com/docs/rest-api"
"63,Netlify,https://docs.netlify.com/api"
"64,Cloudflare,https://developers.cloudflare.com/api"
"65,Supabase,https://supabase.com/docs"
"66,Neo4j,https://neo4j.com/docs/api"
"67,Snowflake,https://docs.snowflake.com"
"68,MongoDB Atlas,https://mongodb.com/docs/atlas/api"
"69,Datadog,https://docs.datadoghq.com/api"
"70,Sentry,https://docs.sentry.io/api"
"71,Notion,https://developers.notion.com"
"72,Airtable,https://airtable.com/developers"
"73,Linear,https://developers.linear.app"
"74,Jira,https://developer.atlassian.com"
"75,Asana,https://developers.asana.com"
"76,Monday.com,https://developer.monday.com"
"77,ClickUp,https://clickup.com/api"
"78,Coda,https://coda.io/developers"
"79,Smartsheet,https://smartsheet.com/developers"
"80,Harvest,https://help.getharvest.com/api-v2"
"81,Stripe,https://stripe.com/docs/api"
"82,Plaid,https://plaid.com/docs"
"83,Binance,https://binance-docs.github.io"
"84,Paygent Connect,https://www.paygent.co.jp"
"85,iPayX,https://ipayx.ai/docs"
"86,QuickBooks,https://developer.intuit.com"
"87,Xero,https://developer.xero.com"
"88,Brex,https://developer.brex.com"
"89,Ramp,https://docs.ramp.com"
"90,PitchBook,https://pitchbook.com"
